mention_id,entity_name,entity_type,chunk_id,section_id,context_snippet
M00091,Christ,Person,1975-09-15_SECTION_012_01,,"foretold, despite what happened before Christ will return - for the same purpose: The"
M00092,God,Person,1975-09-15_SECTION_012_01,,"ved the world to make it acceptanble to God (March) 2) Next, late august, after Nix"
M00093,Holy Spirit,Person,1975-09-15_SECTION_012_01,,similarity if not identity between the Holy Spirit (and receiving the Holy Spirit) and rec
M00094,Luther,Person,1975-09-15_SECTION_012_01,,"t regard to their special mm piety (see Luther, on Christianity as the religion of the"
M00095,Sophia,Person,1975-09-15_SECTION_012_01,,ble; 3)+ so will send his son again (St Sophia) at the time of that white light He (Go
M00096,Logos,Person,1975-09-15_SECTION_012_01,,"ious that one overlooks it, is that the Logos qua Jesus was bound by the limitations"
M00097,Palmer Eldritch,Person,1975-09-15_SECTION_012_01,,"s Gnostic? It has been said that (as in PALMER ELDRITCH) I am a precog, in which case the 3/74"
M00098,UBIK,Work,1975-09-15_SECTION_012_01,,"ived a movie option payment for me, for UBIK, in the amount of $1750 (see your lette"
M00099,Ubik,Work,1975-09-15_SECTION_012_01,,"ived a movie option payment for me, for UBIK, in the amount of $1750 (see your lette"
M00100,Palmer Eldritch,Work,1975-09-15_SECTION_012_01,,"s Gnostic? It has been said that (as in PALMER ELDRITCH) I am a precog, in which case the 3/74"
M00101,CLANS OF THE ALPHANE MOON,Work,1975-09-15_SECTION_012_01,,ck of August 24th for British monies on CLANS OF THE ALPHANE MOON which we failed to deduct at the time d
M00102,Clans of the Alphane Moon,Work,1975-09-15_SECTION_012_01,,ck of August 24th for British monies on CLANS OF THE ALPHANE MOON which we failed to deduct at the time d
M00103,TEARS,Work,1975-09-15_SECTION_012_01,,"r knowledge, appeared in my wriing (e.g.TEARS). (Esp. the crypteform word ""Felix,"" re"
M00104,Genesis,Work,1975-09-15_SECTION_012_01,,"'s'original mandate/convenant to man in Genesis. ""Go forth ana multiply and be prospero"
M00105,Britannica,Work,1975-09-15_SECTION_012_01,,"ather than time moving us along (qv the Britannica macro on Time, we move through it. (As"
M00106,Nixon,Person,1975-09-15_SECTION_012_02,,"Century A.D., and chat wasn't until the Nixon Administration, with RMN as 666. The Ch"
M00107,St. Paul,Person,1975-09-15_SECTION_012_02,,"some of it, for instance all that about St. Paul; seeing by reflection; why, the title i"
M00108,Jesus,Person,1975-09-15_SECTION_012_02,,"m,"" the prince of the earth proved that Jesus was who he said he was, and that the pr"
M00109,Christ,Person,1975-09-15_SECTION_012_02,,how it helps anyhow (supra) Conclusion: Christ did not come here to suffer. His suffer
M00110,God,Person,1975-09-15_SECTION_012_02,,"and since he was God, then we should submit to our suffering"
M00111,Holy Spirit,Person,1975-09-15_SECTION_012_02,,ecause the Logos or Santa Sophia or the Holy Spirit simply arranged its own birth) on Earth
M00112,Empedocles,Person,1975-09-15_SECTION_012_02,,"asic power, as in yin and yang, or with Empedocles; especially it is like the war between"
M00113,Dionysos,Person,1975-09-15_SECTION_012_02,,"e his kingly throne to govern earth (cf Dionysos in THE BACCHAE, in contrast). All I ask"
M00114,Thomas,Person,1975-09-15_SECTION_012_02,,"tous plasmatic transcendent body, which Thomas couldn't recognize because the ""body"" o"
M00115,Sophia,Person,1975-09-15_SECTION_012_02,,"power which our assisting spirit Santa Sophia has to offer. This, however, remains a"
M00116,Logos,Person,1975-09-15_SECTION_012_02,,"the incarnation actually proved it. The Logos used itself as a demonstration, as a gu"
M00117,UBIK,Work,1975-09-15_SECTION_012_02,,"Is continued! It may have begun back in UBIK, then MAZE, FROLIX 8, TEARS and next DE"
M00118,Ubik,Work,1975-09-15_SECTION_012_02,,"Is continued! It may have begun back in UBIK, then MAZE, FROLIX 8, TEARS and next DE"
M00119,COUNTER-CLOCK WORLD,Work,1975-09-15_SECTION_012_02,,"final version, in the text itself! Even COUNTER-CLOCK WORLD could be included...a continual stream"
M00120,Counter-Clock World,Work,1975-09-15_SECTION_012_02,,"final version, in the text itself! Even COUNTER-CLOCK WORLD could be included...a continual stream"
M00121,TEARS,Work,1975-09-15_SECTION_012_02,,"; it is, above all, a war. The dream in TEARS contains the ostensible command, ""Die,"""
M00122,DEUS IRAE,Work,1975-09-15_SECTION_012_02,,"ocalypse. Well, if this be so, thend if DEUS IRAE comes out next, which it may, the messa"
M00123,Deus Irae,Work,1975-09-15_SECTION_012_02,,"ocalypse. Well, if this be so, thend if DEUS IRAE comes out next, which it may, the messa"
M00124,Bible,Work,1975-09-15_SECTION_012_02,,"which only 2 books are retained in the Bible, of many) tell of Christ returning as a"
M00125,Revelation,Work,1975-09-15_SECTION_012_02,,am (i.e. from the Book of Daniel and of Revelation). I just read somewhere that all apocal
M00126,Genesis,Work,1975-09-15_SECTION_012_02,,"repeat of the first command from God in Genesis? No, because this isn't God, this is Ch"
M00127,Hamlet,Work,1975-09-15_SECTION_012_02,,this time: vide THE BACCHAE. Also vide HAMLET and the strange dallying to seize power
M00128,Christ,Person,1975-09-15_SECTION_012_03,,e cycle of history. The first time God (Christ) entered history (to use Harnack's phra
M00129,God,Person,1975-09-15_SECTION_012_03,,by the cycle of history. The first time God (Christ) entered history (to use Harnac
M00130,Plato,Person,1975-09-15_SECTION_012_03,,"outside of time, unchanging) universe (Plato’s real world) I am certain, by experien"
M00131,Parmenides,Person,1975-09-15_SECTION_012_03,,eath or coldness or decay). Form One of Parmenides: the dry or fiery principle. What kind
M00132,Heraclitus,Person,1975-09-15_SECTION_012_03,,"d (as Christ), into the idios kosmos of Heraclitus, to draw us into his/her/its world, the"
M00133,Empedocles,Person,1975-09-15_SECTION_012_03,,rience it. For it is this dialectic (cf Empedocles) which probably produces linear time. I
M00134,Calvin,Person,1975-09-15_SECTION_012_03,,"e and not mine, so to speak. It was, as Calvin says, a restoration of what I once had."
M00135,Augustine,Person,1975-09-15_SECTION_012_03,,"rally enfolding it, I can’t figure out (Augustine versus the literal millenialists). I as"
M00136,VALIS,Person,1975-09-15_SECTION_012_03,,"lace, that they or he or she or it, the VALIS A, is right here with us. They never le"
M00137,Sophia,Person,1975-09-15_SECTION_012_03,,"man as a gift). What came to me was St. Sophia, the Logos, Christ. Where it took me wa"
M00138,Logos,Person,1975-09-15_SECTION_012_03,,"at, I saw saw the assembling force (the Logos) and the counter-force as well (unnamed"
M00139,UBIK,Work,1975-09-15_SECTION_012_03,,"Bruce showed, this is all put forth in UBIK. My Nazi, porno, underground cartoon, h"
M00140,Ubik,Work,1975-09-15_SECTION_012_03,,"Bruce showed, this is all put forth in UBIK. My Nazi, porno, underground cartoon, h"
M00141,VALIS,Work,1975-09-15_SECTION_012_03,,"lace, that they or he or she or it, the VALIS A, is right here with us. They never le"
M00142,Valis,Work,1975-09-15_SECTION_012_03,,"lace, that they or he or she or it, the VALIS A, is right here with us. They never le"
M00143,TEARS,Work,1975-09-15_SECTION_012_03,,"S"" placed material (e.g. from ""Acts"" in TEARS, plus stuff in UBIK0 in my work, then """
M00144,Acts,Work,1975-09-15_SECTION_012_03,,"If ""VALIS"" placed material (e.g. from ""Acts"" in TEARS, plus stuff in UBIK0 in my wo"
M00145,Hamlet,Work,1975-09-15_SECTION_012_03,,this time: vide THE BACCHAE. Also vide HAMLET and the strange dallying to seize power
M00146,God,Person,1975-09-15_SECTION_012_04,,"o deal with the Xerox-letter situation (God's grace""). I take this to mean, es¬ pec"
M00147,Calvin,Person,1975-09-15_SECTION_012_04,,"e and not mine, so to speak. It was, as Calvin says, a restoration of what I once had."
