mention_id,entity_name,entity_type,chunk_id,section_id,context_snippet
M00216,TEARS,Work,1975-11-05_SECTION_013_04,,"rks, UBIK. It put the dream material in TEARS. Perhaps it is a woman, a Greek woman."
M00217,Bible,Work,1975-11-05_SECTION_013_04,,"g the year after: the name Jesus in the Bible opening up to form ZeusZagreus, the dot"
M00218,Acts,Work,1975-11-05_SECTION_013_04,,"was rejected by His own people. And re ""Acts,"" the true gospel —authoritative, offic"
M00219,Revelation,Work,1975-11-05_SECTION_013_04,,"finally the name ""St. Sophia."" Gnostic revelation has broken through into my head in the"
M00220,Hamlet,Work,1975-11-05_SECTION_013_04,,n THE BACCHAE and the passion story and Hamlet; the fact that Dionysus is a breaker of
M00221,Christ,Person,1975-11-05_SECTION_013_05,,an be made to jibe with the Bible; thus Christ becomes the female spirit Sophia in a m
M00222,God,Person,1975-11-05_SECTION_013_05,,"ther (3rd T.). The first emanation from God, according to the O.T., so I guess daug"
M00223,Plato,Person,1975-11-05_SECTION_013_05,,"complete person! The missing half which Plato wrote about. In Jungian terms, psycholo"
M00224,Jung,Person,1975-11-05_SECTION_013_05,,he world it knew already). Thus it fits Jung's depiction of the second part of a per
M00225,Aphrodite,Person,1975-11-05_SECTION_013_05,,"light, still water, the quiet statue of Aphrodite) shows a depotentiated unconscious, wit"
M00226,Simon Magus,Person,1975-11-05_SECTION_013_05,,"bout this, but it is so, based on 3-74. Simon Magus lives. Also, it is a thoroughly Greek s"
M00227,Thomas,Person,1975-11-05_SECTION_013_05,,"nts, which restores his memory (Book of Thomas?), and he starts the journey back. Why"
M00228,Sophia,Person,1975-11-05_SECTION_013_05,,Jewish-Christian religion and enshrines Sophia as the creator goddess. So says Neumann
M00229,Logos,Person,1975-11-05_SECTION_013_05,,"identifies hers with Christ, hence the Logos. This restores the cosmological quality"
M00230,TRANSMIGRATION,Work,1975-11-05_SECTION_013_05,,"come. Pythagorias was right; this was a transmigration. This was a rebirth for me, and the val"
M00231,TEARS,Work,1975-11-05_SECTION_013_05,,"the Second Advent.) (As in the dream in TEARS, the king brings first sorrow & grief a"
M00232,EXEGESIS,Work,1975-11-05_SECTION_013_05,,"God. In a sense Gnosticism is a correct exegesis of the Bible (i.e. Proverbs 8 and ""Wisd"
M00233,Bible,Work,1975-11-05_SECTION_013_05,,so that it can be made to jibe with the Bible; thus Christ becomes the female spirit
M00234,Revelation,Work,1975-11-05_SECTION_013_05,,"finally the name ""St. Sophia."" Gnostic revelation has broken through into my head in the"
M00235,Jesus,Person,1975-11-05_SECTION_013_06,,"say, is the bodiless cosmic Christ, not Jesus; he is invisible and he is everywhere e"
M00236,Christ,Person,1975-11-05_SECTION_013_06,,"(unconscious). Therefore it also equals Christ, who was the Mediator. The sparsely pop"
M00237,God,Person,1975-11-05_SECTION_013_06,,riam of itself. This is not to say that God didn’t help; this is not to subjective-
M00238,Holy Spirit,Person,1975-11-05_SECTION_013_06,,could be safe? Ah; is the Steersman the Holy Spirit? What happened in 3-74 was done in rela
M00239,Jung,Person,1975-11-05_SECTION_013_06,,"e unconscious. The authentic self which Jung talks about was already there, waiting"
M00240,Aphrodite,Person,1975-11-05_SECTION_013_06,,"light, still water, the quiet statue of Aphrodite) shows a depotentiated unconscious, wit"
M00241,Zeus,Person,1975-11-05_SECTION_013_06,,"oonbeams; the egg of Leda, derived from Zeus; the light in the tomb. This is Firebri"
M00242,Firebright,Person,1975-11-05_SECTION_013_06,,"om Zeus; the light in the tomb. This is Firebright, now, a great light, a pearl, a closed"
M00243,Sophia,Person,1975-11-05_SECTION_013_06,,"itself. She is Wisdom, Lady Wisdom, St. Sophia, probably the highest role or Identity"
M00244,Logos,Person,1975-11-05_SECTION_013_06,,"ty and power; she instructs me with the Logos, the word, wisdom itself. She is Wisdom"
M00245,Pat,Person,1975-11-05_SECTION_013_07,,"ed. At last I buttonholed my old friend Pat Flannery, because he was a Catholic, bu"
M00246,Pinky,Person,1975-11-05_SECTION_013_07,,"u will notice a change in the animals."" Pinky.) Ah! I recall suddenly how I used to ("
M00247,Jesus,Person,1975-11-05_SECTION_013_07,,"say, is the bodiless cosmic Christ, not Jesus; he is invisible and he is everywhere e"
M00248,Christ,Person,1975-11-05_SECTION_013_07,,"he, as they say, is the bodiless cosmic Christ, not Jesus; he is invisible and he is e"
M00249,God,Person,1975-11-05_SECTION_013_07,,"yhow. There is only the question, Is it God or Christ at work? and if the latter, t"
M00250,Holy Spirit,Person,1975-11-05_SECTION_013_07,,"ing any names, such as Christ, God, the Holy Spirit, etc. This is the founda¬ tion of it al"
M00251,Calvin,Person,1975-11-05_SECTION_013_07,,"a strip, which probably refers back to Calvin's statement that our original faculties"
M00252,Sophia,Person,1975-11-05_SECTION_013_07,,"ing for. This is probably what the ""St. Sophia"" message meant. In mid 74 I thought for"
M00253,Bible,Work,1975-11-05_SECTION_013_07,,"ious reports of such matters, as in the Bible, are known only through report & faith"
M00254,Revelation,Work,1975-11-05_SECTION_013_07,,"(And no doubt to others.) Apokalupsis: revelation, be revealed; this would be His general"
M00255,Hamlet,Work,1975-11-05_SECTION_013_07,,"at did happen. As in the BACCHAE, as in Hamlet, he toppled the iron & clay empire & th"
